text,language
"பேருதான் விஷால், உடம்பெல்லாம் விஷம்: தாணு காட்டம்",tamil
பிக் பாஸ் வீட்டிற்குப் புது வரவு,tamil
பண மோசடி: ’பேட் மேன்’ பட தயாரிப்பாளர் பிரேர்னா அரோரா கைது,tamil
சென்சார் போர்ட் மீது வித்யா பாலன் விமர்சனம்,tamil
நாளை 2-வது ஒரு நாள் போட்டி: மீண்டும் அசத்துமா இந்திய அணி?,tamil
நோயாளிகளை சந்திக்க பிரேமலதாவுக்கு அனுமதி மறுப்பு,tamil
‘கடைக்குட்டி சிங்கம்’ படத்தை தடை செய்க - பீட்டா கோரிக்கை,tamil
"சீனியர் கிங்ஸா, ரஷித் மேஜிக்கா? இன்று பரபரப்பு கிளைமாக்ஸ்!",tamil
முல்லை பெரியாறு அணை நீர்பிடிப்பில் 8000 ஏக்கர் ஆக்கிரமிப்பா? அதிரவைக்கும் தகவல்!,tamil
“எனது பிறந்த நாளை கொண்டாட வேண்டாம்”- உதயநிதி அறிவுறுத்தல்,tamil
வேதா நிலையத்திற்கு போலீஸ் பாதுகாப்பு அதிகரிப்பு,tamil
நீட் தேர்வில் மாணவர்கள் அலைக்கழிப்பு - சிபிஎஸ்இக்கு தேசிய மனித உரிமை ஆணையம் நோட்டீஸ்,tamil
விநாயகருக்கு பிரம்மாண்ட கொழுக்கட்டை படையல்,tamil
ஸ்ரீதேவி வாழ்க்கைக் கதையில் நடிக்க ஹன்சிகா ஆசை!,tamil
குமாரசாமி கணக்கர் வீட்டில் வருமானவரி சோதனை,tamil
5 மாநிலங்களில் ஆட்சியமைக்கப் போவது யார்..? இன்று வாக்கு எண்ணிக்கை,tamil
மீனவர்கள் குடும்பத்திற்கு ரூ.20 லட்சம் நிதி: முதலமைச்சர் அறிவிப்பு,tamil
தொழில்நுட்ப கோளாறால் பாதிக்கப்பட்ட 108 எண் சேவை சீரானது,tamil
கேலி செய்தால் காலி: ஆக்ராவில் ஆன்டி ரோமியோ படை,tamil
வீண் பழி சுமத்தினால் அவதூறு வழக்கு: திருமாவளவன்,tamil
தீ விபத்து நடந்த இடம்: அமைச்சர் ஜெயக்குமார் ஆய்வு,tamil
கஜா புயலால் சேதம் - தென்னை விவசாயி தூக்கிட்டு தற்கொலை,tamil
"தஸ்லிமா இருக்கும்போது, ரோஹிங்யா இருக்கக் கூடாதா? ஓவைசி கேள்வி",tamil
கீழடி ஆய்வுக்கு நிதி மறுப்பு அதிர்ச்சியளிக்கிறது: மத்திய அமைச்சருக்கு ஸ்டாலின் கடிதம்,tamil
 ‘புதிய விதி’ நாக் அவுட் சுற்றுக்கு முன்னேறிய ஜப்பான்,tamil
18 வருட காதல் முறிந்தது: தைய தைய நடிகைக்கு விவாகரத்து,tamil
தமிழக அரசின் மானிய விலை ஸ்கூட்டர் திட்டம்: தொடங்கி வைக்கிறார் மோடி?,tamil
